###
# RoG, CIP1,CIP2,CIP3 RoG (remove these lines before starting to cluster)
###
466 10.376534,883.491693,927.070657,1335.414798 10.376534
467 10.008259,969.729431,1013.739830,1419.553236 10.008259
468 9.190022,1192.332905,1342.179392,1659.894102 9.190022
469 9.180264,1224.866774,1326.817292,1657.102633 9.180264
470 9.230790,1192.832177,1300.100914,1639.621673 9.230790
471 9.315930,1145.329452,1302.096301,1635.422816 9.315930
472 9.336532,1171.407802,1270.455298,1604.444793 9.336532
473 9.328204,1159.654478,1295.791799,1619.318646 9.328204
474 9.823860,1019.961135,1226.186634,1459.126276 9.823860
475 9.854108,1009.794520,1255.040328,1476.657107 9.854108
476 9.269360,1147.304875,1322.620369,1623.447687 9.269360
477 9.308484,1158.474180,1302.713156,1628.978371 9.308484
478 9.260278,1149.776447,1327.894998,1616.958601 9.260278
479 9.482234,1057.631240,1254.212834,1582.371004 9.482234
480 9.227807,1164.023713,1293.946850,1640.477134 9.227807
481 9.659166,1041.936885,1174.718223,1528.100723 9.659166
482 9.250721,1187.350226,1282.843214,1621.911190 9.250721
483 9.268296,1179.083497,1299.532264,1640.498227 9.268296
484 9.326385,1144.101808,1338.265617,1604.364168 9.326385
485 9.395233,1092.297167,1262.178490,1606.936326 9.395233
486 10.415945,876.324384,994.169800,1347.685542 10.415945
487 10.451469,840.906190,956.861661,1327.059141 10.451469
488 10.256367,904.847906,971.042586,1385.589563 10.256367
489 10.382265,883.845521,999.405333,1340.196931 10.382265
490 10.618708,826.054076,963.070869,1294.938159 10.618708
491 10.587263,810.263897,956.421769,1289.936138 10.587263
492 10.621171,823.140627,955.638177,1289.965468 10.621171
493 10.526107,859.055097,912.236886,1311.651373 10.526107
494 10.515337,858.387600,942.039617,1337.345255 10.515337
495 10.543781,873.537209,932.563387,1339.868232 10.543781
496 10.201856,922.949122,1009.121085,1399.939587 10.201856
497 10.587890,841.609821,909.381243,1297.887406 10.587890
498 10.214030,930.186287,1007.889708,1380.685157 10.214030
499 10.073860,982.596961,1040.487662,1395.306246 10.073860
500 9.631893,1079.875433,1174.483639,1581.731137 9.631893
