###
# RoG, CIP1,CIP2,CIP3 RoG (remove these lines before starting to cluster)
###
41 9.627707,1074.904070,1269.424854,1560.423854 9.627707
42 9.568571,1084.133779,1270.309761,1554.721535 9.568571
43 9.584677,1107.993027,1255.344263,1557.441124 9.584677
44 9.964876,1027.537228,1083.252459,1481.401272 9.964876
45 10.283305,962.409431,997.467652,1411.760615 10.283305
46 10.042590,987.077380,1083.588444,1437.329228 10.042590
47 10.026004,973.734707,1091.988986,1455.339639 10.026004
48 9.705037,1088.855810,1236.716485,1533.773648 9.705037
49 9.997651,962.865297,1105.817345,1440.147647 9.997651
50 9.939643,1004.715887,1108.831578,1482.254665 9.939643
51 10.188247,945.182092,1043.929915,1442.353454 10.188247
52 10.021254,987.767415,1096.370735,1466.682234 10.021254
53 10.059267,992.825173,1112.281353,1462.618914 10.059267
54 10.153999,985.833178,1059.534809,1427.328931 10.153999
55 10.191115,962.682122,1055.965718,1434.265395 10.191115
56 9.978657,980.568973,1151.353988,1456.199849 9.978657
57 10.019717,992.340662,1132.465339,1449.637829 10.019717
58 9.853101,1011.619373,1186.867994,1502.505746 9.853101
59 10.061559,975.268927,1164.513616,1435.509444 10.061559
60 9.552764,1120.125391,1286.580681,1571.955061 9.552764
61 9.488026,1134.916543,1299.169103,1595.198108 9.488026
62 9.487872,1113.466391,1267.250298,1569.408383 9.487872
63 9.729803,1097.212247,1145.269982,1532.927664 9.729803
64 9.733638,1074.588759,1171.973051,1510.955186 9.733638
65 9.795939,1065.538670,1156.621278,1505.694088 9.795939
66 9.773588,1034.915122,1199.319663,1502.156949 9.773588
67 9.660272,1077.959821,1220.085146,1536.816444 9.660272
68 9.990682,998.326274,1106.398993,1450.236363 9.990682
69 9.898767,1011.107117,1141.114029,1484.659469 9.898767
70 10.218246,953.480261,1074.568507,1438.412475 10.218246
71 10.260066,946.792309,1110.017282,1420.567263 10.260066
72 10.078000,998.669274,1063.167845,1453.708076 10.078000
73 10.109654,994.064625,1091.530409,1443.803472 10.109654
74 10.048623,1013.701336,1116.726700,1463.684559 10.048623
75 9.924840,1013.756505,1139.300973,1481.789645 9.924840
76 10.017994,980.323847,1099.270596,1460.263978 10.017994
